Log start on,2019-05-26 14:47:44
Feature,Accelerometer
Nodes,AM1V340 @374730, 
Date,HostTimestamp (ms),NodeName,NodeTimestamp,RawData,X (mg),Y (mg),Z (mg),
26/05/2019 14:47:44.579,40,AM1V340 @374730,43643,E903F0FFDBFF,1001,-16,-37,
26/05/2019 14:47:44.636,97,AM1V340 @374730,43649,E903F3FFE3FF,1001,-13,-29,
26/05/2019 14:47:44.674,135,AM1V340 @374730,43656,E903F4FFDEFF,1001,-12,-34,
26/05/2019 14:47:44.729,190,AM1V340 @374730,43662,EA03ECFFE3FF,1002,-20,-29,
26/05/2019 14:47:44.805,266,AM1V340 @374730,43668,EA03EFFFEBFF,1002,-17,-21,
26/05/2019 14:47:44.824,285,AM1V340 @374730,43674,EA03F8FFE2FF,1002,-8,-30,
26/05/2019 14:47:44.879,340,AM1V340 @374730,43681,E903EFFFECFF,1001,-17,-20,
26/05/2019 14:47:44.936,397,AM1V340 @374730,43687,EA03FDFFE6FF,1002,-3,-26,
26/05/2019 14:47:44.974,435,AM1V340 @374730,43693,E903DCFFF8FF,1001,-36,-8,
26/05/2019 14:47:45.030,491,AM1V340 @374730,43699,EA03F4FFE7FF,1002,-12,-25,
26/05/2019 14:47:45.086,547,AM1V340 @374730,43706,E903EDFFECFF,1001,-19,-20,
26/05/2019 14:47:45.124,585,AM1V340 @374730,43712,EA03F3FFE2FF,1002,-13,-30,
26/05/2019 14:47:45.179,640,AM1V340 @374730,43718,E903EEFFEFFF,1001,-18,-17,
26/05/2019 14:47:45.236,697,AM1V340 @374730,43724,EB03E7FFF0FF,1003,-25,-16,
26/05/2019 14:47:45.275,736,AM1V340 @374730,43731,E903F0FFE6FF,1001,-16,-26,
26/05/2019 14:47:45.329,790,AM1V340 @374730,43737,EB03E5FFF1FF,1003,-27,-15,
26/05/2019 14:47:45.386,847,AM1V340 @374730,43743,EA03E8FFE8FF,1002,-24,-24,
26/05/2019 14:47:45.425,886,AM1V340 @374730,43749,EA03EEFFE5FF,1002,-18,-27,
26/05/2019 14:47:45.479,940,AM1V340 @374730,43756,EA03E9FFE9FF,1002,-23,-23,
26/05/2019 14:47:45.535,996,AM1V340 @374730,43762,EA03E4FFE8FF,1002,-28,-24,
26/05/2019 14:47:45.573,1034,AM1V340 @374730,43768,E703F3FFDEFF,999,-13,-34,
26/05/2019 14:47:45.629,1090,AM1V340 @374730,43774,EA03E9FFE3FF,1002,-23,-29,
26/05/2019 14:47:45.685,1146,AM1V340 @374730,43781,EA03DFFFE3FF,1002,-33,-29,
26/05/2019 14:47:45.723,1184,AM1V340 @374730,43787,E803F0FFD7FF,1000,-16,-41,
26/05/2019 14:47:45.779,1240,AM1V340 @374730,43793,EA03F9FFCDFF,1002,-7,-51,
26/05/2019 14:47:45.835,1296,AM1V340 @374730,43799,EA030400F9FF,1002,4,-7,
26/05/2019 14:47:45.911,1372,AM1V340 @374730,43806,E503E8FFD1FF,997,-24,-47,
26/05/2019 14:47:45.931,1392,AM1V340 @374730,43812,EE03FAFF1A00,1006,-6,26,
26/05/2019 14:47:45.986,1447,AM1V340 @374730,43818,EC03FCFF2400,1004,-4,36,
26/05/2019 14:47:46.023,1484,AM1V340 @374730,43824,E903FEFFDBFF,1001,-2,-37,
26/05/2019 14:47:46.079,1540,AM1V340 @374730,43831,E903E0FFF6FF,1001,-32,-10,
26/05/2019 14:47:46.155,1616,AM1V340 @374730,43837,E703E9FFE5FF,999,-23,-27,
26/05/2019 14:47:46.174,1635,AM1V340 @374730,43843,EA030800D8FF,1002,8,-40,
26/05/2019 14:47:46.248,1709,AM1V340 @374730,43849,EA03FAFFEAFF,1002,-6,-22,
26/05/2019 14:47:46.286,1747,AM1V340 @374730,43856,E603F0FFD5FF,998,-16,-43,
26/05/2019 14:47:46.342,1803,AM1V340 @374730,43862,EA034700C7FF,1002,71,-57,
26/05/2019 14:47:46.379,1840,AM1V340 @374730,43868,E5031900C6FF,997,25,-58,
26/05/2019 14:47:46.435,1896,AM1V340 @374730,43874,E9032900C0FF,1001,41,-64,
26/05/2019 14:47:46.474,1935,AM1V340 @374730,43881,E9034000BCFF,1001,64,-68,
26/05/2019 14:47:46.530,1991,AM1V340 @374730,43887,E603FFFFF2FF,998,-1,-14,
26/05/2019 14:47:46.586,2047,AM1V340 @374730,43893,EE0343000300,1006,67,3,
26/05/2019 14:47:46.623,2084,AM1V340 @374730,43899,E503CEFF1D00,997,-50,29,
26/05/2019 14:47:46.680,2141,AM1V340 @374730,43906,DE03E0FF1B00,990,-32,27,
26/05/2019 14:47:46.735,2196,AM1V340 @374730,43912,D803D7FF2300,984,-41,35,
26/05/2019 14:47:46.773,2234,AM1V340 @374730,43918,CD03E9FF2600,973,-23,38,
26/05/2019 14:47:46.849,2310,AM1V340 @374730,43924,BE0309001A00,958,9,26,
26/05/2019 14:47:46.886,2347,AM1V340 @374730,43931,9E03EAFF3C00,926,-22,60,
26/05/2019 14:47:46.923,2384,AM1V340 @374730,43937,7503FBFF4000,885,-5,64,
26/05/2019 14:47:46.980,2440,AM1V340 @374730,43943,3B03F6FF5000,827,-10,80,
26/05/2019 14:47:47.036,2497,AM1V340 @374730,43949,E602F6FF6B00,742,-10,107,
26/05/2019 14:47:47.073,2534,AM1V340 @374730,43956,6902E8FF9A00,617,-24,154,
26/05/2019 14:47:47.130,2591,AM1V340 @374730,43962,9B0193FFC900,411,-109,201,
26/05/2019 14:47:47.186,2647,AM1V340 @374730,43968,680093FFF600,104,-109,246,
26/05/2019 14:47:47.224,2685,AM1V340 @374730,43974,46FF29000C01,-186,41,268,
26/05/2019 14:47:47.279,2740,AM1V340 @374730,43981,BBFCEEFF7101,-837,-18,369,
26/05/2019 14:47:47.335,2796,AM1V340 @374730,43987,F8F919FF8E01,-1544,-231,398,
26/05/2019 14:47:47.373,2834,AM1V340 @374730,43993,B8FFCC0733F8,-72,1996,-1997,
26/05/2019 14:47:47.430,2890,AM1V340 @374730,43999,050073FFA7FE,5,-141,-345,
26/05/2019 14:47:47.485,2946,AM1V340 @374730,44006,34012F001C00,308,47,28,
26/05/2019 14:47:47.523,2984,AM1V340 @374730,44012,8D008A002CFC,141,138,-980,
26/05/2019 14:47:47.579,3040,AM1V340 @374730,44018,740076022DFB,116,630,-1235,
26/05/2019 14:47:47.654,3115,AM1V340 @374730,44024,A700F600D8FC,167,246,-808,
26/05/2019 14:47:47.674,3135,AM1V340 @374730,44031,A100FA0098FC,161,250,-872,
26/05/2019 14:47:47.729,3190,AM1V340 @374730,44037,97001D014BFC,151,285,-949,
26/05/2019 14:47:47.786,3247,AM1V340 @374730,44043,98002A0143FC,152,298,-957,
26/05/2019 14:47:47.824,3285,AM1V340 @374730,44049,990022014EFC,153,290,-946,
26/05/2019 14:47:47.879,3340,AM1V340 @374730,44056,9A001E0158FC,154,286,-936,
26/05/2019 14:47:47.954,3415,AM1V340 @374730,44062,9B001C0160FC,155,284,-928,
26/05/2019 14:47:47.974,3435,AM1V340 @374730,44068,9B001B0163FC,155,283,-925,
26/05/2019 14:47:48.029,3490,AM1V340 @374730,44074,9A001A0165FC,154,282,-923,
26/05/2019 14:47:48.086,3547,AM1V340 @374730,44081,9C001A0165FC,156,282,-923,
26/05/2019 14:47:48.124,3585,AM1V340 @374730,44087,9B001A0165FC,155,282,-923,
26/05/2019 14:47:48.179,3640,AM1V340 @374730,44093,9B001A0164FC,155,282,-924,
26/05/2019 14:47:48.236,3697,AM1V340 @374730,44099,9A001A0164FC,154,282,-924,
26/05/2019 14:47:48.292,3753,AM1V340 @374730,44106,9B001B0163FC,155,283,-925,
26/05/2019 14:47:48.331,3792,AM1V340 @374730,44112,9B001B0164FC,155,283,-924,
26/05/2019 14:47:48.385,3846,AM1V340 @374730,44118,9B001A0164FC,155,282,-924,
26/05/2019 14:47:48.423,3884,AM1V340 @374730,44124,9B001A0163FC,155,282,-925,
26/05/2019 14:47:48.480,3941,AM1V340 @374730,44131,9B001A0163FC,155,282,-925,
26/05/2019 14:47:48.535,3996,AM1V340 @374730,44137,9B001A0162FC,155,282,-926,
26/05/2019 14:47:48.573,4034,AM1V340 @374730,44143,9B001A0163FC,155,282,-925,
26/05/2019 14:47:48.630,4091,AM1V340 @374730,44149,9C001B0162FC,156,283,-926,
26/05/2019 14:47:48.686,4147,AM1V340 @374730,44156,9A001B0163FC,154,283,-925,
26/05/2019 14:47:48.723,4184,AM1V340 @374730,44162,9B001B0163FC,155,283,-925,
26/05/2019 14:47:48.799,4260,AM1V340 @374730,44168,9B001B0162FC,155,283,-926,
26/05/2019 14:47:48.836,4297,AM1V340 @374730,44174,9B001B0161FC,155,283,-927,
26/05/2019 14:47:48.873,4334,AM1V340 @374730,44181,9B001A0162FC,155,282,-926,
26/05/2019 14:47:48.948,4409,AM1V340 @374730,44187,9B001A0163FC,155,282,-925,
26/05/2019 14:47:49.004,4465,AM1V340 @374730,44193,9B001B0162FC,155,283,-926,
26/05/2019 14:47:49.023,4484,AM1V340 @374730,44199,9B001B0162FC,155,283,-926,
26/05/2019 14:47:49.080,4541,AM1V340 @374730,44206,9B001A0163FC,155,282,-925,
26/05/2019 14:47:49.135,4596,AM1V340 @374730,44212,9C001B0162FC,156,283,-926,
